id,name,manhinh,cpu,ram,loaibonho,dungluongbonho,gpu,trongluong,gia,class
4575,Satellite Pro,15.6,Intel Core i3 6100U 2.1GHz,4,SSD,128,Intel HD Graphics 520,2.1,498,VanPhong
4323,Aspire R7,13.3,Intel Core i7 6500U 2.5GHz,8,SSD,256,Intel HD Graphics 520,1.6,789.01,VanPhong
4565,Tecra A50-D-11M,15.6,Intel Core i5 7200U 2.5GHz,8,HDD,500,Intel HD Graphics 620,2,1064,PhoThong
4324,ZenBook Flip,13.3,Intel Core i5 7200U 2.5GHz,8,SSD,256,Intel HD Graphics 620,1.27,928,VanPhong
4566,Inspiron 5570,15.6,Intel Core i7 8550U 1.8GHz,8,SSD,256,AMD Radeon 530,2.2,919,VanPhong
4325,Inspiron 3567,15.6,Intel Core i5 7200U 2.5GHz,4,SSD,256,AMD Radeon R5 M430,2.3,598.9,VanPhong
4567,Inspiron 5570,15.6,Intel Core i7 8550U 1.8GHz,16,SSD+HDD,2304,AMD Radeon 530,2.2,1135,ChuyenNghiep
4326,Latitude 3380,13.3,Intel Core i3 6006U 2GHz,4,SSD,128,Intel HD Graphics 520,1.65,689,VanPhong
4568,IdeaPad Y700-15ISK,15.6,Intel Core i7 6700HQ 2.6GHz,8,SSD+HDD,1152,Nvidia GeForce GTX 960,3.31,1196,ChuyenNghiep
4327,EliteBook 1040,14,Intel Core i7 6500U 2.5GHz,8,SSD,256,Intel HD Graphics 520,1.43,1500,VanPhong
4569,Alienware 17,17.3,Intel Core i7 7700HQ 2.8GHz,32,SSD+HDD,1536,Nvidia GeForce GTX 1070,4.42,3147.37,ChuyenNghiep
4328,Inspiron 3567,15.6,Intel Core i5 7200U 2.5GHz,8,HDD,1024,Intel HD Graphics 620,2.14,539.95,PhoThong
4329,ThinkPad E480,14,Intel Core i7 8550U 1.8GHz,8,SSD,256,AMD Radeon RX 550,1.75,1215.38,VanPhong
4580,Surface Laptop,13.5,Intel Core i7 7600U 2.8GHz,8,SSD,256,Intel Iris Plus Graphics 640,1.252,1867.85,VanPhong
4581,V310-15ISK (i5-7200U/8GB/1TB,15.6,Intel Core i5 7200U 2.5GHz,8,SSD+HDD,1152,AMD Radeon R5 M430,1.9,817.95,VanPhong
4340,Chromebook 3,11.6,Intel Celeron Dual Core N3060 1.6GHz,4,Flash Storage,16,Intel HD Graphics 400,1.15,269,PhoThong
