Brand,Model,Benchmark
Nvidia,Quadro K4200,22.5
Nvidia,GTX 680MX,22.2
Nvidia,Quadro M2000,22.1
Nvidia,Quadro K5000,22
AMD,R9 M290,21.8
Nvidia,GTX 660,21.5
AMD,Radeon RX 560-B,21.5
AMD,HD 6970,21.5
Nvidia,GTX 775M,21.4
AMD,R7 265,21.3
AMD,RX 460,21.3
Nvidia,GTX 760 (192-bit),20.9
AMD,Radeon HD 7970M,20.9
AMD,HD 7850,20.8
AMD,HD 7790,20.7
AMD,R7 260X,20.6
AMD,HD 6990 (Crossfire Disabled),20.6
Nvidia,Quadro K5100M,20.5
Nvidia,GTX 570,20.4
AMD,R9 M290X,20.2
AMD,HD 6950,19.9
Nvidia,GTX 480,19.7
Nvidia,GTX 560 Ti (448 Core LE),19.3
Nvidia,GTX 680M,18.9
AMD,R7 360,18.7
Nvidia,GTX 650 Ti Boost,18.4
AMD,HD 5870,17.9
Nvidia,GTX 750-Ti,17.5
AMD,Radeon HD 8950,17.3
Nvidia,GTX 560 Ti,17
Nvidia,GTX 770M,16.5
Nvidia,Quadro K2200,16.4
Nvidia,GTX 960M,16.3
AMD,FirePro M6100 (FireGL V),15.9
AMD,RX Vega 11 (Ryzen iGPU),15.9
Nvidia,GeForce GTX 470,15.7
Nvidia,GTX 860M,15.5
Nvidia,GTX 560 Ti-OEM,15.4
Nvidia,GTX 650-Ti,15.3
AMD,HD 5970 (Crossfire Disabled),15.3
AMD,HD 6870,15.2
AMD,RX 550,15.1
Nvidia,GTX 675MX,15
Nvidia,GTX 750,14.9
Nvidia,Quadro 6000,14.8
AMD,HD 5850,14.7
Nvidia,GT 1030,14.6
Nvidia,MX150-0,14.3
Nvidia,GTX 560,14.2
Nvidia,Quadro K5000M,14.1
Nvidia,GTX 850M,14
Nvidia,GTX 950M,13.9
AMD,FirePro V7900 (FireGL V),13.8
Nvidia,GTX 460 v2,13.7
AMD,HD 7770,13.6
Nvidia,Quadro K4000,13.2
Nvidia,GTX 765M,13.1
Nvidia,Quadro K1200,13
AMD,R7 250X,12.9
AMD,Radeon HD 8760,12.8
Nvidia,GTX 460,12.7
Nvidia,GTX 465,12.6
AMD,HD 5830,12.5
Intel,Iris Pro 580 (Mobile Skylake),12.2
