manhinh,ram,loaibonho,dungluongbonho,trongluong,gia,class,id,name,cpu,gpu
0.7388889,0.125,0.8,0.2,0.3725,0.18084931,vanphong,3963,ProBook 430,0.808803301,0.165745856
0.8666667,0.0625,0.2,0.4,0.6,0.06296114,phothong,3964,Aspire 3,0.50343879,0.08839779
0.8666667,0.125,1,0.1,0.5325,0.1258895,vanphong,3965,Inspiron 3576,0.808803301,0.160220994
0.8666667,0.0625,0.8,0.05,0.4775,0.071979016,vanphong,3966,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),0.419532325,0.127071823
0.8666667,0.0625,0.8,0.1,0.5,0.096112475,vanphong,3967,VivoBook Max,0.628610729,0.08839779
0.96111107,0.25,1,0.9,0.6075,0.40154123,chuyennghiep,3968,GS73VR 7RG,0.83218707,0.878453039
0.8666667,0.0625,0.8,0.1,0.5,0.06804394,vanphong,3969,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),0.419532325,0.127071823
0.96111107,0.25,1,0.9,0.7,0.21298574,chuyennghiep,3970,Inspiron 5770,0.808803301,0.17679558
0.7777778,0.125,1,0.1,0.425,0.14412199,vanphong,3971,Vostro 5471,0.782668501,0.165745856
0.7777778,0.125,0.8,0.1,0.425,0.09821282,vanphong,3972,IdeaPad 520S-14IKB,0.573590096,0.08839779
0.7777778,0.125,0.8,0.1,0.35,0.15428759,vanphong,3973,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),0.782668501,0.165745856
0.8666667,0.125,1,0.1,0.465,0.113133304,vanphong,3974,250 G6 x,0.628610729,0.08839779
0.8666667,0.25,0.8,0.2,0.45,0.32513526,vanphong,3975,ZenBook Pro,0.83218707,0.331491713
0.8666667,0.0625,0.2,0.1953125,0.465,0.07192819,phothong,3976,250 G6,0.419532325,0.160220994
0.7777778,0.0625,0.8,0.0125,0.36,0.037547138,vanphong,3977,Stream 14-AX040wm,0.173314993,0.044198895
0.8666667,0.0625,0.2,0.4,0.475,0.090014756,phothong,3978,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),0.628610729,0.08839779
0.96111107,0.1875,0.2,0.4,0.75,0.15559928,phothong,3979,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,0.83218707,0.331491713
0.75,0.0625,0.8,0.05,0.313,0.17855386,vanphong,3980,Surface Laptop,0.628610729,0.08839779
0.7388889,0.125,0.8,0.1,0.35,0.15658304,vanphong,3981,Inspiron 5370,0.808803301,0.17679558
0.8666667,0.125,0.8,0.1,0.55,0.14264634,vanphong,3982,Inspiron 5570,0.808803301,0.17679558
,,,,,,,,,,
