manhinh,ram,cpu,gpu,trongluong,loaibonho,dungluongbonho,gia,name,id,class
0.833333333,0.1875,0.83218707,0.480662983,0.4,1,0.5859375,0.209870471,MacBook Pro ,5233,VanPhong
0.944444444,0.375,0.872077029,0.497237569,0.8,1,0.2,0.163961305,250 G6 -cn,5234,VanPhong
0.666666667,0.0625,0.646492435,0.160220994,0.375,1,0.05,0.163961305,macbook 12-vp,5235,ChuyenNghiep
0.777777778,0.25,0.733149931,0.674033149,0.575,1,0.46875,0.081980653,inspiron-cn,5237,VanPhong
